Date / Time	City	State	Shape	Duration	Summary	Posted
12/31/14 23:59	Wailuku	HI	Circle	20 minutes	Exactly one year to the date more red orange floating objects.	1/07/2015
12/31/14 23:59	St. Thomas (U. S. Virgin Islands)		Triangle	5 minutes	Red triangle seen over us Virgin Islands on New Year's Eve.	1/09/2015
12/31/14 23:30	San Jose del Cabo (Baja California)(Mexico)		Triangle	10 minutes	Two triangular lights over San Jose del Cabo New Year's eve. I was not  drinking.	1/07/2015
12/31/14 23:30	Boynton Beach	FL	Light	1 minute	Orange light moves west, flickers, then takes off full speed out of sight.	1/07/2015
12/31/14 23:30	Smyrna	GA	Disk	15 minutes	Very bright orange/red lights on disc shaped craft heading due south over  Atlanta on New Years Eve	1/07/2015
12/31/14 23:15	Onancock	VA	Light	2-3 seconds	Fast bright light disapears with in a second	1/07/2015
12/31/14 22:45	Bear Lake	UT	Sphere	5 minutes	Dark orange light that was stationary in the sky and turned from 1 light to  3 lights in a crescent shape.  Stayed in one place for ab	1/07/2015
12/31/14 22:45	Somersworth	NH	Fireball	10 minutes	Two orange fireballs seen moving silently across the night sky in  Somersworth, NH.	1/07/2015
12/31/14 22:15	Vancouver	WA	Light	15 minutes	Orange orbs seen in southeast sky over Vancouver WA on New Years Eve at  about 10:15pm	1/07/2015
12/31/14 22:00	Taos	NM	Light	Several minutes	Large ball of orange/yellow light in Taos, NM.	1/07/2015
12/31/14 22:00	Kalispell	MT	Fireball	5 minutes	I was walking down 2nd ave east as I watched fireworks for the New Years  and I saw coming from the SW of town a totally lit object.	1/07/2015
12/31/14 22:00	Spring Hill	FL	Fireball	2:00	Weird fireball on the sky on Spring Hill, Florida.	1/07/2015
12/31/14 21:30	Port Ludlow	WA	Sphere	10 minutes	Orange ball crossing sky.	1/07/2015
12/31/14 21:30	Tampa	FL	Triangle	2-3 minutes	3 Reddish-orange lights in a triangle moving over New Tampa	1/07/2015
12/31/14 21:26	Cayucos	CA	Sphere	1 minute	I feel confident of what observed.	1/07/2015
12/31/14 21:00	Draper	UT	Light	15 minutes	A SMALLER LIGHT OBJECT CATCHING UP AND FOLLOWING AN AIRLINER	1/07/2015
12/31/14 21:00	Calgary (Canada)	AB	Light	3 minutes	3 bright orange lights.	1/07/2015
12/31/14 21:00	Rolesville	NC	Circle	10 minutes	Seen 6 objects that were orange in color round in shape ,all in a line  looked like they were on a string all coming out of the west mov	1/07/2015
12/31/14 20:48	Shasta Lake	CA	Fireball	2 + seconds	Dec 31, 2014, Shasta Lake, CA, extra large fireball with reddish debris  coming off, 2+sec. duration. Largest I have ever seen.	1/07/2015
12/31/14 20:30	St. George	UT	Light	3 minutes	Seven orange lights in Saint George.	1/07/2015
12/31/14 20:27	Grants Pass	OR	Fireball	3 minutes	Bright orange light hovering in the sky.	1/07/2015
12/31/14 20:10	Jacksonville	FL	Fireball	4 minutes	I saw 3 objects one was flaming red with 4-6 flames beneath the other 2  were just red lights	1/07/2015
12/31/14 20:00	Hayden	ID	Fireball	4 minutes	Pinkish circular fireball orbs in the sky, silent, and then vanishing. I  got three out of four on film with my Samsung Galaxy s5.	1/16/15
12/31/14 20:00	Fayetteville	NC	Light	15 minutes	Red lights. Would fade out and reappear in nearby at a different height. No  sound. Attempted to film it with cell phone.	1/07/2015
12/31/14 19:45	Pasadena	MD	Disk	1 minute	Seen 5 bright orange lights approach my home from the southwest. No sound.	1/07/2015
12/31/14 19:45	Pasadena	MD	Disk	2 minutes	Seen 5 bright orange lights approaching my home traveling approx 3 to 4000  feet at 150 to 200 mph to the northeast. looking up at app	1/07/2015
12/31/14 19:40	Cincinatti	OH	Circle	5 minutes	Orange ballot light traveling at constant speed across the sky.	1/07/2015
12/31/14 19:30	McKean Twp.	PA	Light	4 seconds	Two balls of light in clear night sky.	1/07/2015
12/31/14 19:15	Clarksville	TN	Fireball	~10 minutes	Fireball type aircraft making a show on New Year's Eve in Clarksville, TN.	1/07/2015
12/31/14 19:00	Wenatchee	WA	Light	15 minutes	Bright red lights seen over Wenatchee.	1/07/2015
12/31/14 17:34	Lakewood	CO	Chevron	30 seconds	Lakewood, CO.	1/07/2015
12/31/14 14:00	Clearwater	MN		20 seconds	Eastbound light orb seen for approx 30 seconds central MN.	1/07/2015
12/31/14 11:00	Everett	WA	Unknown	15 minutes	It looked like what was a jet going straight up in the sky with jet streams  behind it.... But wasn't moving...then two fighter jets fle	1/07/2015
12/31/14 10:15	Temecula	CA	Rectangle	3 seconds	Blue rectangular, semi-transparent object (~6' x ~12') rose up out of a  small grove of fruit trees and disappeared with a very bright w	1/07/2015
12/31/14 04:59	Calhoun	GA	Circle	20 minutes +	No word processed sorry. I'm in Calhoun ga I live estimate not address off  dews pond towards country. ((NUFORC Note: Star?? PD))	1/07/2015
12/31/14 00:30	Crofton	MD	Chevron	20 seconds	Chevron shaped object.	1/07/2015
12/31/14 00:00	Waimanalo	HI	Sphere	5+ minutes	Orange/yellow (mostly orange) spheres popping out of the sky direction of  Waimanalo Beach Park, Hawaii	1/07/2015
12/30/14 22:30	Rancho Cucamonga	CA	Disk	2-3 seconds	This object was huge with lights on top and bottom	1/07/2015
12/30/14 20:55	Roy	UT	Light	4-5 minutes	6 lights in a random pattern over Roy, Utah.	1/07/2015
12/30/14 19:00	Cromwell	MN		3 minutes	2 flat looking planes with 3 lights on front.	1/07/2015
12/30/14 18:00	Sumner	WA	Light	Seconds	Four lights flashed in the sky.	1/07/2015
12/30/14 16:00	Drexel Hill	PA	Circle	10 minutes	Two spots in the sky did not move for several minutes, seen from a moving  vehicle.	1/07/2015
12/30/14 12:14	Anaheim	CA	Sphere	3 minutes	Many silver spheres.	1/07/2015
12/30/14 11:40	St. George	UT	Other	5:00	Donut, metallic, floating object in the daytime.	1/07/2015
12/30/14 00:05	Swannanoa	NC	Light	3-5 minutes	Never saw anything like B4; no sound, red lights, one by one, straight up,  curved into horizontal flight.	1/07/2015
12/30/14	Bluffton (Canada)		Changing	1 hour	((NUFORC Note: Source provides no information about the incident. Hoax??  PD))	1/07/2015
